股票代码	股票简称	分红方案
000570	苏常柴A	10派0.30元
000801	四川九洲	10派0.20元
000967	盈峰环境	10转4.985934股派0.398874元
002020	京新药业	10派1.001846元
002031	巨轮智能	10派0.05元
002204	大连重工	10派0.10元
002227	奥特迅	10派0.10元
002283	天润曲轴	10派0.18元
002390	信邦制药	10派0.30元
002412	汉森制药	10派5.00元
002630	华西能源	10派0.3元
002839	张家港行	10派1.00元
300032	金龙机电	10派1.013561元
300063	天龙集团	10转15股派0.5元
300071	华谊嘉信	10派0.386842元
300165	天瑞仪器	10派0.25元
300197	铁汉生态	10派0.50元
300209	天泽信息	10派1.00元
300212	易华录	10派1.20元
300254	仟源医药	10派0.50元
300261	雅本化学	10派0.40元
300381	溢多利	10派0.60元
300415	伊之密	10转8股派1.80元
300473	德尔股份	10派2.60元
300566	激智科技	10转5股派2.00元
300615	欣天科技	10派5.00元
300623	捷捷微电	10派3.0元
600021	上海电力	10派1.8元
600125	铁龙物流	10派0.60元
600252	中恒集团	10派0.45元
600285	羚锐制药	10派1.50元
600289	亿阳信通	10派0.65元
600315	上海家化	10派1元
600508	上海能源	10派1.00元
600530	交大昂立	10派0.6元
600573	惠泉啤酒	10派0.085元
600758	红阳能源	10派0.4元
600879	航天电子	10转10股
601107	四川成渝	10派1.1元
601500	通用股份	10派1元
601579	会稽山	10派1.1元
603030	全筑股份	10转20股派0.6元
603033	三维股份	10转4股派3元
603037	凯众股份	10转3股派7.00元
603069	海汽集团	10派0.60元
603660	苏州科达	10派0.72元
