sh600004	2018-02-01
sh600009	2018-02-01
sh600019	2018-02-01
sh600782	2018-02-01
sh601009	2018-02-01
sh601088	2018-02-01
sh601398	2018-02-01
sh601699	2018-02-01
sh603799	2018-02-01
sh603833	2018-02-01
sh601888	2018-01-31
sz000830	2018-01-31
sz002078	2018-01-31
sh601233	2018-01-30
sz000426	2018-01-30
sh600104	2018-01-29
sh600426	2018-01-29
sh600585	2018-01-29
sh601155	2018-01-29
sh601636	2018-01-29
sz002359	2018-01-29
sz000333	2018-01-26
sz000651	2018-01-26
sz001979	2018-01-26
sh600276	2018-01-25
sh600377	2018-01-25
sh601933	2018-01-25
sz002110	2018-01-25
sz002597	2018-01-25
sz300308	2018-01-25
sz300618	2018-01-25
sh600036	2018-01-24
sh600048	2018-01-24
sh600872	2018-01-24
sh601288	2018-01-24
sh601939	2018-01-24
sz000002	2018-01-24
sz000338	2018-01-24
sz000513	2018-01-24
sz000732	2018-01-24
sz002142	2018-01-24
sz300015	2018-01-24
sh600346	2018-01-23
sh600436	2018-01-23
sh600702	2018-01-23
sh601318	2018-01-23
sz002032	2018-01-23
sz002714	2018-01-23
sh600258	2018-01-22
sh600809	2018-01-19
sh600779	2018-01-18
sh600867	2018-01-18
sz002372	2018-01-17
sh600298	2018-01-16
sh600383	2018-01-16
sh600887	2018-01-16
sh603288	2018-01-16
sz000568	2018-01-16
sz000661	2018-01-16
sz000895	2018-01-16
sz002035	2018-01-16
sz002415	2018-01-16
sh600519	2018-01-15
sh600690	2018-01-15
sz000418	2018-01-15
sz000858	2018-01-15
sz002001	2018-01-15
sz002422	2018-01-15
sz002508	2018-01-15
sh600660	2018-01-11
sz300122	2018-01-11
sz000963	2018-01-10
sz002304	2018-01-10
sz002050	2018-01-09
sz002493	2018-01-09
sh600176	2018-01-08
sh600486	2018-01-08
sh600885	2018-01-08
sh603501	2018-01-05
sh600460	2018-01-04
sz000703	2018-01-04
sh600183	2018-01-03
sz002271	2018-01-03
sh600521	2017-12-29
sh600741	2017-12-29
sz002294	2017-12-29
sz002311	2017-12-29
sh600196	2017-12-25
sh600167	2017-12-15
sz002600	2017-12-08
sh600522	2017-12-07
sz002408	2017-12-07
sh600507	2017-12-04
sz000968	2017-12-04
sz002212	2017-12-01
sz300601	2017-11-30
sh600801	2017-11-29
sz002281	2017-11-23
sh600487	2017-11-22
sh600900	2017-11-22
sh601012	2017-11-22
sh601336	2017-11-22
sz000001	2017-11-22
sz000063	2017-11-22
sz002008	2017-11-22
sz002230	2017-11-22
sz002450	2017-11-22
sz002451	2017-11-22
sz002475	2017-11-22
sz300136	2017-11-22
sh600438	2017-11-21
sz000786	2017-11-21
sz300142	2017-11-21
sh601601	2017-11-20
sh603228	2017-11-14
sh603612	2017-11-14
sh603882	2017-11-14
sz002236	2017-11-14
sz002241	2017-11-14
sz002456	2017-11-14
sz300296	2017-11-14
sz300676	2017-11-14
sz300679	2017-11-14
sz300699	2017-11-14
sh600066	2017-11-13
sh600566	2017-11-13
sh600703	2017-11-13
sh603626	2017-11-13
sh603868	2017-11-13
sz002019	2017-11-13
sz300088	2017-11-13
sz300450	2017-11-13
sz002384	2017-11-10
sz002583	2017-11-10
sz300323	2017-11-10
sz000839	2017-11-09
sz000725	2017-11-08
sz002901	2017-11-08
sh600056	2017-11-07
sh603233	2017-11-07
sh603589	2017-11-07
sz000596	2017-11-07
sz002773	2017-11-07
sz002812	2017-11-06
sh601326	2017-11-02
sh603305	2017-11-01
sh603730	2017-11-01
sh603986	2017-10-31
sz002080	2017-10-31
sz000538	2017-10-30
sz002635	2017-10-30
sh601238	2017-10-27
sh601619	2017-10-27
sh601949	2017-10-27
sh603055	2017-10-27
sh603157	2017-10-27
sz002310	2017-10-25
sz002572	2017-10-25
sz300197	2017-10-25
sz300355	2017-10-25
sz002127	2017-10-19
sh600622	2017-10-18
sh600338	2017-10-17
sh600231	2017-10-13
sz002120	2017-10-12
sz002509	2017-10-12
sz002640	2017-10-11
sh600309	2017-10-10
sz000488	2017-10-09
sz002340	2017-10-09
sz300266	2017-09-28
sz002085	2017-09-27
sz000807	2017-09-21
sh600260	2017-09-19
sh601881	2017-09-18
sz000710	2017-09-15
sh601003	2017-09-14
sz000932	2017-09-14
sz002497	2017-09-14
sh600230	2017-09-12
sh600392	2017-09-12
sh600516	2017-09-12
sh600549	2017-09-12
sh600884	2017-09-12
sh601011	2017-09-12
sh603993	2017-09-12
sz002056	2017-09-12
sz002460	2017-09-12
sz002466	2017-09-12
sz300014	2017-09-12
sh600477	2017-09-05
sh601878	2017-09-05
sz300115	2017-09-05
sz300285	2017-09-05
sh600409	2017-09-04
sz000983	2017-09-04
sz002545	2017-08-31
sh600295	2017-08-22
sh600563	2017-08-16
sz000933	2017-08-09
sz002092	2017-08-04
sz000951	2017-08-03
sz002601	2017-07-31
sh600110	2017-07-24
sh600816	2017-07-20
sh600000	2017-07-17
sz000423	2017-06-26
sz000921	2017-06-26
sz000022	2017-06-21
sz002411	2017-06-21
sz002821	2017-06-14
sh600393	2017-06-06
sh601952	2017-05-19
sh603113	2017-05-19
sh603603	2017-05-18
sh600874	2017-05-16
sh601128	2017-05-10
sh603323	2017-05-10
sh600908	2017-05-08
sz002867	2017-05-05
sh600828	2017-05-04
sh601228	2017-05-04
sz002542	2017-05-04
sz300145	2017-05-04
sz002302	2017-05-03
sz002807	2017-04-28
sh600681	2017-04-27
sh603225	2017-04-21
sh601992	2017-04-17
sz000401	2017-04-17
sz300482	2017-04-17
sh600155	2017-04-14
sz002146	2017-04-14
sz000429	2017-04-13
sh600340	2017-04-12
sz000959	2017-04-11
sh601200	2017-04-10
sz002108	2017-04-10
sz300237	2017-04-10
sz300628	2017-04-06
sz002839	2017-04-05
sh603517	2017-03-31
sz002558	2017-03-31
sz002841	2017-03-29
sh601375	2017-03-27
sh603298	2017-03-24
sz002434	2017-03-24
sz300072	2017-03-24
sh600939	2017-03-23
sh601212	2017-03-23
sz300156	2017-03-23
sz300616	2017-03-22
sh603444	2017-03-17
sz300376	2017-03-17
sz000820	2017-03-16
sz300180	2017-03-10
sh603218	2017-03-02
sz000617	2017-03-02
sz000881	2017-03-02
sz002352	2017-03-01
sz000059	2017-02-22
sh603877	2017-01-17
sz002537	2017-01-10
sz002602	2017-01-09
sh600996	2017-01-04
sz002647	2016-12-28
sz002831	2016-12-23
sz300317	2016-12-20
sz002694	2016-12-19
sh600909	2016-12-15
sh600568	2016-12-09
sz000980	2016-12-06
sh603858	2016-11-29
sz300558	2016-11-28
sz002818	2016-11-24
sh603556	2016-11-23
sz002287	2016-11-22
sh601229	2016-11-18
sh603888	2016-11-17
sh600917	2016-11-16
sh603160	2016-11-14
sz002797	2016-11-14
sh603421	2016-11-11
sh603658	2016-11-11
sz002815	2016-11-11
sh603515	2016-11-10
sz002530	2016-11-10
sh600233	2016-11-04
sh601020	2016-11-04
sh603569	2016-11-04
sh603816	2016-11-03
sz000935	2016-11-03
sh600926	2016-11-02
sz000813	2016-09-23
sh601163	2016-09-20
sh600715	2016-09-19
sz000413	2016-09-14
sh600936	2016-08-30
sh601811	2016-08-29
sz300459	2016-08-26
sz300529	2016-08-26
sh600977	2016-08-25
sh601997	2016-08-24
sz000981	2016-08-24
sz002157	2016-08-19
sz000034	2016-08-18
sz000918	2016-08-17
sh600007	2016-08-15
sh600919	2016-08-15
sz002299	2016-08-03
sz300294	2016-08-03
sz300017	2016-07-28
sz000766	2016-07-21
sz002426	2016-07-21
sh601966	2016-07-19
sz002759	2016-07-18
sz300118	2016-07-13
sh600489	2016-07-11
sh601127	2016-07-11
sh600547	2016-07-07
sz300432	2016-07-06
sh601611	2016-07-04
sz300116	2016-07-04
sz300474	2016-06-29
sz002643	2016-06-22
sz002709	2016-06-17
sz002074	2016-06-16
sz002407	2016-06-16
sz300496	2016-06-08
sz000018	2016-04-08
sz002147	2016-03-18
sh603377	2016-02-25
sz002624	2016-02-18
sh603866	2016-01-08
sz000519	2016-01-06
sz002468	2016-01-05
sh600085	2015-12-31
sz002292	2015-12-31
sz002662	2015-12-31
sz300098	2015-12-31
sh600667	2015-12-30
sz002091	2015-12-30
sz002680	2015-12-30
sz002717	2015-12-29
sh600160	2015-12-28
sz300083	2015-12-28
sz300113	2015-12-28
sh600515	2015-12-25
sh600649	2015-12-25
sh600687	2015-12-25
sz000666	2015-12-25
sz002413	2015-12-24
sz002512	2015-12-24
sh600482	2015-12-23
sz002202	2015-12-23
sz300009	2015-12-23
sh600053	2015-12-21
sz002739	2015-12-21
sz300297	2015-12-21
sh600604	2015-12-18
sz000564	2015-12-18
sz002176	2015-12-18
sz000025	2015-12-10
sz002354	2015-12-09
sz300383	2015-12-09
sz002143	2015-12-04
sh600575	2015-12-03
sz002203	2015-11-26
sz002668	2015-11-26
sz002670	2015-11-26
sz300418	2015-11-26
sh600400	2015-11-25
sz300203	2015-11-25
sz002252	2015-11-24
sh600226	2015-11-23
sz000676	2015-11-23
sz002027	2015-11-23
sz002049	2015-11-20
sh600967	2015-11-19
sh600754	2015-11-18
sz000990	2015-11-17
sz002673	2015-11-17
sz000008	2015-11-13
sz002010	2015-11-10
sz002445	2015-11-10
sz300498	2015-11-02
sz000630	2015-10-28
sh600876	2015-10-23
sh603568	2015-10-23
sh601016	2015-08-19
sz002013	2015-08-19
sh600006	2015-08-18
sh601718	2015-08-18
sz002506	2015-08-18
sh600737	2015-08-17
sz000031	2015-08-17
sz000930	2015-08-17
sz002242	2015-08-13
sz002249	2015-08-11
sz002179	2015-07-30
sz002498	2015-07-27
sh600614	2015-07-23
sh601998	2015-07-10
sh601988	2015-07-09
sh600086	2015-07-02
sh600583	2015-07-01
sh600871	2015-07-01
sh601211	2015-07-01
sh601872	2015-07-01
sh601985	2015-07-01
sz000088	2015-07-01
sz002219	2015-07-01
sh600027	2015-06-30
sz000039	2015-06-30
sh600688	2015-06-29
sh601111	2015-06-29
sz000709	2015-06-29
sh600376	2015-06-26
sh600011	2015-06-25
sh600175	2015-06-25
sh600273	2015-06-25
sh600428	2015-06-25
sh600511	2015-06-25
sh600578	2015-06-25
sh600682	2015-06-25
sh600863	2015-06-25
sh600963	2015-06-25
sh601898	2015-06-25
sz000069	2015-06-25
sz002503	2015-06-25
sh600022	2015-06-24
sh600029	2015-06-24
sh600115	2015-06-24
sh600329	2015-06-24
sz000550	2015-06-24
sz002429	2015-06-24
sz002701	2015-06-24
sh600886	2015-06-23
sh600777	2015-06-19
sh603885	2015-06-19
sh600017	2015-06-18
sh600166	2015-06-18
sh600188	2015-06-18
sh600221	2015-06-18
sh600317	2015-06-18
sh600325	2015-06-18
sh600337	2015-06-18
sh600339	2015-06-18
sh600398	2015-06-18
sh600500	2015-06-18
sh600618	2015-06-18
sh600640	2015-06-18
sh600674	2015-06-18
sh600787	2015-06-18
sh600795	2015-06-18
sh601006	2015-06-18
sh601107	2015-06-18
sh601258	2015-06-18
sh603806	2015-06-18
sz000056	2015-06-18
sz000408	2015-06-18
sz000547	2015-06-18
sz000629	2015-06-18
sz000718	2015-06-18
sz000902	2015-06-18
sz000970	2015-06-18
sz002075	2015-06-18
sz002081	2015-06-18
sz002444	2015-06-18
sz300003	2015-06-18
sz300038	2015-06-18
sz300222	2015-06-18
sh600567	2015-06-17
sh600664	2015-06-17
sz000938	2015-06-17
sz002262	2015-06-17
sz300026	2015-06-17
sh600039	2015-06-16
sh600138	2015-06-16
sh600172	2015-06-16
sh600266	2015-06-16
sh600297	2015-06-16
sh600350	2015-06-16
sh600619	2015-06-16
sh600797	2015-06-16
sh600839	2015-06-16
sh600981	2015-06-16
sz000012	2015-06-16
sz000046	2015-06-16
sz000089	2015-06-16
sz000402	2015-06-16
sz000559	2015-06-16
sz000582	2015-06-16
sz000999	2015-06-16
sz002004	2015-06-16
sz002168	2015-06-16
sz002396	2015-06-16
sz002699	2015-06-16
sz300463	2015-06-16
sh600037	2015-06-15
sh600058	2015-06-15
sh600072	2015-06-15
sh600090	2015-06-15
sh600120	2015-06-15
sh600125	2015-06-15
sh600126	2015-06-15
sh600153	2015-06-15
sh600180	2015-06-15
sh600198	2015-06-15
sh600208	2015-06-15
sh600240	2015-06-15
sh600252	2015-06-15
sh600267	2015-06-15
sh600282	2015-06-15
sh600548	2015-06-15
sh600582	2015-06-15
sh600597	2015-06-15
sh600705	2015-06-15
sh600745	2015-06-15
sh600748	2015-06-15
sh600751	2015-06-15
sh600873	2015-06-15
sh600998	2015-06-15
sh601098	2015-06-15
sh601168	2015-06-15
sh601179	2015-06-15
sh601588	2015-06-15
sh601886	2015-06-15
sh601928	2015-06-15
sh603077	2015-06-15
sh603198	2015-06-15
sh603766	2015-06-15
sz000009	2015-06-15
sz000061	2015-06-15
sz000062	2015-06-15
sz000100	2015-06-15
sz000155	2015-06-15
sz000425	2015-06-15
sz000525	2015-06-15
sz000581	2015-06-15
sz000587	2015-06-15
sz000598	2015-06-15
sz000600	2015-06-15
sz000662	2015-06-15
sz000685	2015-06-15
sz000727	2015-06-15
sz000729	2015-06-15
sz000758	2015-06-15
sz000797	2015-06-15
sz000887	2015-06-15
sz000898	2015-06-15
sz000923	2015-06-15
sz000976	2015-06-15
sz000998	2015-06-15
sz002002	2015-06-15
sz002028	2015-06-15
sz002180	2015-06-15
sz002210	2015-06-15
sz002217	2015-06-15
sz002244	2015-06-15
sz002389	2015-06-15
sz002517	2015-06-15
sz002573	2015-06-15
sz002581	2015-06-15
sz002608	2015-06-15
sz002622	2015-06-15
sz002678	2015-06-15
sz300002	2015-06-15
sz300064	2015-06-15
sz300090	2015-06-15
sz300291	2015-06-15
sz399001	2015-06-15
sh000905	2015-06-12
sh600018	2015-06-12
sh600031	2015-06-12
sh600057	2015-06-12
sh600074	2015-06-12
sh600079	2015-06-12
sh600093	2015-06-12
sh600094	2015-06-12
sh600177	2015-06-12
sh600307	2015-06-12
sh600320	2015-06-12
sh600331	2015-06-12
sh600335	2015-06-12
sh600390	2015-06-12
sh600403	2015-06-12
sh600418	2015-06-12
sh600490	2015-06-12
sh600565	2015-06-12
sh600621	2015-06-12
sh600633	2015-06-12
sh600639	2015-06-12
sh600663	2015-06-12
sh600675	2015-06-12
sh600701	2015-06-12
sh600755	2015-06-12
sh600771	2015-06-12
sh600803	2015-06-12
sh600827	2015-06-12
sh600835	2015-06-12
sh600841	2015-06-12
sh600859	2015-06-12
sh600895	2015-06-12
