2202	000002
2039	000039
763	000063
1157	000157
2338	000338
1812	000488
1513	000513
42	000585
719	000756
1776	000776
347	000898
921	000921
2208	002202
568	002490
1211	002594
895	002672
1057	002703
902	600011
995	600012
1988	600016
1138	600026
1071	600027
386	600028
1055	600029
6030	600030
3968	600036
670	600115
1171	600188
2196	600196
874	600332
358	600362
177	600377
548	600548
914	600585
168	600600
1635	600635
3606	600660
317	600685
338	600688
553	600775
300	600806
323	600808
6837	600837
187	600860
1033	600871
1065	600874
1072	600875
1108	600876
3958	600958
6099	600999
1053	601005
38	601038
1088	601088
107	601107
753	601111
1186	601186
2611	601211
2238	601238
1288	601288
2318	601318
3369	601326
3328	601328
525	601333
1336	601336
1375	601375
390	601390
1398	601398
588	601588
2600	601600
2601	601601
2607	601607
1618	601618
2628	601628
2333	601633
6886	601688
564	601717
2727	601727
1766	601766
6178	601788
1800	601800
2883	601808
811	601811
6818	601818
857	601857
2866	601866
2880	601880
6881	601881
1898	601898
2899	601899
1919	601919
939	601939
3988	601988
991	601991
2009	601992
998	601998
6116	603157
3993	603993
