Date,Time,Type,Broker,Currency,Exchage,Name,Ticker,Direction,Trade Status,Volume,Multiplier,Price,Cost,Abs(cost),过户费,Brokerage,印花税,Net Cost,Net Unit cost,CloseY,Current Cost,Unrealized PL,MTM,Unr/Delta,FullTicker
2016/11/25,1:27 PM,Stock,招商,CNY,SZ,东阿阿胶,423,B,C,600,1,57.89,34734,34734,0,6.95,0,-34740.95,-57.901578,64.69,64.66,4055.05,-18,11.70%,SZ000423
2016/11/28,9:33 AM,Stock,招商,CNY,SZ,东阿阿胶,423,S,C,-600,1,58.31,-34986,34986,0,7,34.99,34944.01,-58.24002133,64.69,64.66,-3851.99,18,-11.00%,SZ000423
2016/11/28,9:41 AM,Stock,招商,CNY,SZ,格力电器,651,S,C,-2500,1,27.2,-68000,68000,0,13.6,68,67918.4,-27.16736,38.82,38.16,-27481.6,1650,-40.40%,SZ000651
2016/11/28,10:30 AM,Stock,招商,CNY,SH,伊利股份,600887,B,C,2200,1,18.72,41184,41184,0.82,8.24,0,-41193.06,-18.7241184,23.06,22.39,8064.94,-1474,19.60%,SH600887
2016/11/28,10:32 AM,Stock,招商,CNY,SH,民生银行,600016,B,C,3300,1,9.43,31119,31119,0.62,6.22,0,-31125.85,-9.4320746,8.34,8.18,-4131.85,-528,-13.30%,SH600016
2016/11/28,1:13 PM,Stock,招商,CNY,SZ,信维通信,300136,B,C,1500,1,26.78,40170,40170,0,8.03,0,-40178.03,-26.785356,36.3,36.97,15276.97,1005,38.00%,SZ300136
2016/11/28,1:39 PM,Stock,招商,CNY,SH,兴业银行,601166,B,C,3000,1,17.01,51030,51030,1.02,10.21,0,-51041.23,-17.0137422,17.31,17.15,408.77,-480,0.80%,SH601166
2016/11/28,1:45 PM,Stock,招商,CNY,SZ,中集集团,39,B,C,2000,1,15.77,31540,31540,0,6.31,0,-31546.31,-15.773154,18.46,18.27,4993.69,-380,15.80%,SZ000039
2016/11/28,1:46 PM,Stock,招商,CNY,SH,兴业银行,601166,B,C,2000,1,16.91,33820,33820,0.68,6.76,0,-33827.44,-16.9137202,17.31,17.15,472.56,-320,1.40%,SH601166
2016/11/28,1:52 PM,Stock,招商,CNY,SZ,信立泰,2294,B,C,1000,1,29.87,29870,29870,0,5.97,0,-29875.97,-29.875974,32.54,32.47,2594.03,-70,8.70%,SZ002294
2016/11/28,2:45 PM,Stock,招商,CNY,SH,伊利股份,600887,B,C,2000,1,18.42,36840,36840,0.74,7.37,0,-36848.1,-18.4240524,23.06,22.39,7931.9,-1340,21.50%,SH600887
2016/11/28,2:45 PM,Stock,招商,CNY,SH,伊利股份,600887,B,C,2000,1,18.46,36920,36920,0.74,7.38,0,-36928.12,-18.4640612,23.06,22.39,7851.88,-1340,21.30%,SH600887
2016/11/28,2:51 PM,Stock,招商,CNY,SH,伊利股份,600887,B,C,1000,1,18.27,18270,18270,0.37,5,0,-18275.37,-18.2753654,23.06,22.39,4114.63,-670,22.50%,SH600887
2016/11/29,9:29 AM,Stock,招商,CNY,SZ,国盛金控,2670,B,C,500,1,35.24,17620,17620,0,5,0,-17625,-35.25,15.97,15.37,-9940,-300,-56.40%,SZ002670
2016/11/29,9:29 AM,Stock,招商,CNY,SZ,宁波银行,2142,B,C,1000,1,18.08,18080,18080,0,5,0,-18085,-18.085,15.36,15.04,-3045,-320,-16.80%,SZ002142
2016/11/29,9:30 AM,Stock,招商,CNY,SZ,中集集团,39,B,C,1000,1,15.6,15600,15600,0,5,0,-15605,-15.605,18.46,18.27,2665,-190,17.10%,SZ000039
2016/11/29,9:30 AM,Stock,招商,CNY,SH,北京银行,601169,B,C,2000,1,10.21,20420,20420,0.41,5,0,-20425.41,-10.2127042,7.55,7.36,-5705.41,-380,-27.90%,SH601169
2016/11/29,9:31 AM,Stock,招商,CNY,SZ,信维通信,300136,S,C,-1500,1,27.08,-40620,40620,0,8.12,40.62,40571.26,-27.047504,36.3,36.97,-14883.74,-1005,-36.60%,SZ300136
2016/11/29,9:42 AM,Stock,招商,CNY,SH,伊利股份,600887,S,C,-3600,1,19.5,-70200,70200,1.4,14.04,70.2,70114.36,-19.47621,23.06,22.39,-10489.64,2412,-14.90%,SH600887
2016/11/29,9:50 AM,Stock,招商,CNY,SZ,中集集团,39,B,C,1000,1,15.53,15530,15530,0,5,0,-15535,-15.535,18.46,18.27,2735,-190,17.60%,SZ000039
2016/11/29,9:58 AM,Stock,招商,CNY,SZ,中集集团,39,B,C,1000,1,15.45,15450,15450,0,5,0,-15455,-15.455,18.46,18.27,2815,-190,18.20%,SZ000039
2016/11/29,10:20 AM,Stock,招商,CNY,SZ,中集集团,39,B,C,1000,1,15.36,15360,15360,0,5,0,-15365,-15.365,18.46,18.27,2905,-190,18.90%,SZ000039
2016/11/29,11:10 AM,Stock,招商,CNY,SH,伊利股份,600887,S,C,-3600,1,20.1,-72360,72360,1.45,14.47,72.36,72271.72,-20.075478,23.06,22.39,-8332.28,2412,-11.50%,SH600887
2016/11/29,1:19 PM,Stock,招商,CNY,SZ,中兴通讯,63,B,C,2000,1,17.02,34040,34040,0,6.81,0,-34046.81,-17.023404,22.48,21.88,9713.19,-1200,28.50%,SZ000063
2016/11/29,1:22 PM,Stock,招商,CNY,SH,招商银行,600036,B,C,2000,1,18.59,37180,37180,0.74,7.44,0,-37188.18,-18.5940898,25.14,24.49,11791.82,-1300,31.70%,SH600036
2016/11/29,1:44 PM,Stock,招商,CNY,SH,北京银行,601169,B,C,2000,1,10.09,20180,20180,0.4,5,0,-20185.4,-10.0927018,7.55,7.36,-5465.4,-380,-27.10%,SH601169
2016/11/29,1:45 PM,Stock,招商,CNY,SH,北京银行,601169,B,C,2000,1,10.1,20200,20200,0.4,5,0,-20205.4,-10.102702,7.55,7.36,-5485.4,-380,-27.20%,SH601169
2016/11/29,1:50 PM,Stock,招商,CNY,SH,北京银行,601169,B,C,2000,1,10.08,20160,20160,0.4,5,0,-20165.4,-10.0827016,7.55,7.36,-5445.4,-380,-27.00%,SH601169
2016/11/29,2:19 PM,Stock,招商,CNY,SZ,中兴通讯,63,B,C,1500,1,16.94,25410,25410,0,5.08,0,-25415.08,-16.943388,22.48,21.88,7404.92,-900,29.10%,SZ000063
2016/11/30,9:27 AM,Stock,招商,CNY,SH,招商银行,600036,S,C,-2000,1,18.76,-37520,37520,0.75,7.5,37.52,37474.23,-18.7371128,25.14,24.49,-11505.77,1300,-30.70%,SH600036
2016/11/30,9:28 AM,Stock,招商,CNY,SH,民生银行,600016,S,C,-3300,1,9.5,-31350,31350,0.63,6.27,31.35,31311.75,-9.48841,8.34,8.18,4317.75,528,13.80%,SH600016
2016/11/30,9:32 AM,Stock,招商,CNY,SZ,国盛金控,2670,S,C,-500,1,35.58,-17790,17790,0,5,17.79,17767.21,-35.53442,15.97,15.37,10082.21,300,56.70%,SZ002670
2016/11/30,9:32 AM,Stock,招商,CNY,SH,兴业银行,601166,S,C,-5000,1,17.04,-85200,85200,1.7,17.04,85.2,85096.06,-17.0192112,17.31,17.15,-653.94,800,-0.80%,SH601166
2016/11/30,9:35 AM,Stock,招商,CNY,SZ,中兴通讯,63,S,C,-3500,1,17.09,-59815,59815,0,11.96,59.82,59743.22,-17.06949057,22.48,21.88,-16836.78,2100,-28.10%,SZ000063
2016/11/30,9:54 AM,Stock,招商,CNY,SZ,智飞生物,300122,B,C,2000,1,18.51,37020,37020,0,7.4,0,-37027.4,-18.513702,23.11,22.38,7732.6,-1460,20.90%,SZ300122
2016/11/30,9:59 AM,Stock,招商,CNY,SH,北京银行,601169,S,C,-4000,1,10.15,-40600,40600,0.81,8.12,40.6,40550.47,-10.137617,7.55,7.36,11110.47,760,27.40%,SH601169
2016/11/30,10:01 AM,Stock,招商,CNY,SZ,宁波银行,2142,B,C,1000,1,17.8,17800,17800,0,5,0,-17805,-17.805,15.36,15.04,-2765,-320,-15.50%,SZ002142
2016/11/30,10:04 AM,Stock,招商,CNY,SH,葛洲坝,600068,B,C,3000,1,9.64,28920,28920,0.58,5.78,0,-28926.36,-9.6421208,10.27,10.09,1343.64,-540,4.60%,SH600068
2016/11/30,10:05 AM,Stock,招商,CNY,SH,中国交建,601800,B,C,2000,1,16.2,32400,32400,0.65,6.48,0,-32407.13,-16.203564,15.59,15.18,-2047.13,-820,-6.30%,SH601800
2016/11/30,10:17 AM,Stock,招商,CNY,SZ,信立泰,2294,S,C,-1000,1,30.03,-30030,30030,0,6.01,30.03,29993.96,-29.993964,32.54,32.47,-2476.04,70,-8.20%,SZ002294
2016/11/30,10:19 AM,Stock,招商,CNY,SH,北京银行,601169,S,C,-2000,1,10.19,-20380,20380,0.41,5,20.38,20354.21,-10.1771062,7.55,7.36,5634.21,380,27.60%,SH601169
2016/11/30,10:33 AM,Stock,招商,CNY,SH,北京银行,601169,S,C,-2000,1,10.2,-20400,20400,0.41,5,20.4,20374.19,-10.187096,7.55,7.36,5654.19,380,27.70%,SH601169
2016/11/30,10:41 AM,Stock,招商,CNY,SZ,小天鹅Ａ,418,B,C,1000,1,35.33,35330,35330,0,7.07,0,-35337.07,-35.337066,45.05,45.13,9792.93,80,27.70%,SZ000418
2016/11/30,10:44 AM,Stock,招商,CNY,SZ,东阿阿胶,423,B,C,700,1,60.23,42161,42161,0,8.43,0,-42169.43,-60.242046,64.69,64.66,3092.57,-21,7.30%,SZ000423
2016/11/30,2:31 PM,Stock,招商,CNY,SZ,东阿阿胶,423,B,C,400,1,60.06,24024,24024,0,5,0,-24029,-60.0725,64.69,64.66,1835,-12,7.60%,SZ000423
2016/11/30,2:40 PM,Stock,招商,CNY,SZ,宁波银行,2142,S,C,-1000,1,17.46,-17460,17460,0,5,17.46,17437.54,-17.43754,15.36,15.04,2397.54,320,13.70%,SZ002142
2016/11/30,2:40 PM,Stock,招商,CNY,SZ,中集集团,39,S,C,-6000,1,15.24,-91440,91440,0,18.29,91.44,91330.27,-15.221712,18.46,18.27,-18289.73,1140,-20.00%,SZ000039
2016/12/1,9:34 AM,Stock,招商,CNY,SZ,东阿阿胶,423,S,C,-1100,1,60.77363636,-66851,66851,0,13.37,66.85,66770.78,-60.70070891,64.69,64.66,-4355.22,33,-6.50%,SZ000423
2016/12/1,9:35 AM,Stock,招商,CNY,SZ,智飞生物,300122,S,C,-2000,1,19.11,-38220,38220,0,7.64,38.22,38174.14,-19.087068,23.11,22.38,-6585.86,1460,-17.20%,SZ300122
2016/12/1,9:36 AM,Stock,招商,CNY,SH,葛洲坝,600068,S,C,-3000,1,9.49,-28470,28470,0.57,5.69,28.47,28435.27,-9.4784222,10.27,10.09,-1834.73,540,-6.40%,SH600068
2016/12/1,9:37 AM,Stock,招商,CNY,SZ,宁波银行,2142,S,C,-1000,1,17.58,-17580,17580,0,5,17.58,17557.42,-17.55742,15.36,15.04,2517.42,320,14.30%,SZ002142
2016/12/1,9:39 AM,Stock,招商,CNY,SZ,小天鹅Ａ,418,S,C,-1000,1,35.42,-35420,35420,0,7.08,35.42,35377.5,-35.377496,45.05,45.13,-9752.5,-80,-27.50%,SZ000418
2016/12/1,10:19 AM,Stock,招商,CNY,SH,中国交建,601800,B,C,700,1,15.76,11032,11032,0.22,5,0,-11037.22,-15.76745806,15.59,15.18,-411.22,-287,-3.70%,SH601800
2016/12/1,2:17 PM,Stock,招商,CNY,SH,中国交建,601800,B,C,900,1,15.71,14139,14139,0.28,5,0,-14144.28,-15.71586976,15.59,15.18,-482.28,-369,-3.40%,SH601800
2016/12/1,2:59 PM,Stock,招商,CNY,SH,中国交建,601800,S,C,-2000,1,15.86,-31720,31720,0.63,6.34,31.72,31681.3,-15.8406508,15.59,15.18,1321.3,820,4.20%,SH601800
2016/12/2,9:34 AM,Stock,招商,CNY,SH,大秦铁路,601006,B,C,10000,1,7.3,73000,73000,1.46,14.6,0,-73016.06,-7.301606,8.75,8.68,13783.94,-700,18.90%,SH601006
2016/12/2,9:51 AM,Stock,招商,CNY,SH,中国交建,601800,S,C,-1600,1,15.65,-25040,25040,0.5,5.01,25.04,25009.45,-15.630907,15.59,15.18,721.45,656,2.90%,SH601800
2016/12/2,10:25 AM,Stock,招商,CNY,SZ,东阿阿胶,423,B,C,5000,1,59.0466,295233,295233,0,59.05,0,-295292.05,-59.05840932,64.69,64.66,28007.95,-150,9.50%,SZ000423
2016/12/5,9:31 AM,Stock,招商,CNY,SH,伊利股份,600887,B,C,3000,1,18.2876666,54862.9998,54862.9998,1.1,10.97,0,-54875.07,-18.29168989,23.06,22.39,12294.93,-2010,22.40%,SH600887
2016/12/5,9:33 AM,Stock,招商,CNY,SZ,东方财富,300059,B,C,2000,1,20.82,41640,41640,0,8.33,0,-41648.33,-20.824164,12.94,12.83,-15988.33,-220,-38.40%,SZ300059
2016/12/5,9:34 AM,Stock,招商,CNY,SH,大秦铁路,601006,B,C,5000,1,7.25,36250,36250,0.73,7.25,0,-36257.98,-7.251595,8.75,8.68,7142.03,-350,19.70%,SH601006
2016/12/5,9:35 AM,Stock,招商,CNY,SZ,东方财富,300059,B,C,3000,1,20.94,62820,62820,0,12.56,0,-62832.56,-20.944188,12.94,12.83,-24342.56,-330,-38.70%,SZ300059
2016/12/5,9:37 AM,Stock,招商,CNY,SH,伊利股份,600887,B,C,3000,1,18.31,54930,54930,1.1,10.99,0,-54942.08,-18.3140282,23.06,22.39,12227.92,-2010,22.30%,SH600887
2016/12/5,9:39 AM,Stock,招商,CNY,SZ,掌趣科技,300315,B,C,3000,1,10.68,32040,32040,0,6.41,0,-32046.41,-10.682136,7.38,7.35,-9996.41,-90,-31.20%,SZ300315
2016/12/5,9:57 AM,Stock,招商,CNY,SZ,锡业股份,960,B,C,2000,1,14.43,28860,28860,0,5.77,0,-28865.77,-14.432886,15.25,13.81,-1245.77,-2880,-4.30%,SZ000960
2016/12/5,10:38 AM,Stock,招商,CNY,SZ,广发证券,776,B,C,2000,1,18.54,37080,37080,0,7.42,0,-37087.42,-18.543708,17.42,16.92,-3247.42,-1000,-8.80%,SZ000776
2016/12/5,1:09 PM,Stock,招商,CNY,SZ,美的集团,333,B,C,2000,1,28.41,56820,56820,0,11.36,0,-56831.36,-28.415682,40.85,39.64,22448.64,-2420,39.50%,SZ000333
