V1	price
sh600820	9.5
sh600823	4.79
sh600825	7.06
sh600826	18.07
sh600827	13.92
sh600831	9.85
sh600835	20.38
sh600837	15.13
sh600839	3.37
sh600848	17.77
sh600850	21.61
sh600851	8.27
sh600859	14.78
sh600862	9.26
sh600863	2.99
sh600864	8.16
sh600867	20.74
sh600869	6.9
sh600871	3.92
sh600872	16.43
sh600873	5.51
sh600874	19.03
sh600875	9.42
sh600879	14.7
sh600880	6.25
sh600881	5.08
sh600884	13.56
sh600886	7.7
sh600887	19.51
sh600893	24.58
sh600894	11.58
sh600895	16.15
sh600900	14.64
sh600908	13.83
sh600917	9.48
sh600919	8.95
sh600926	20.94
sh600936	8.01
sh600958	13.81
sh600959	10.69
sh600967	12.16
sh600970	9.44
sh600971	7.17
sh600977	18.8
sh600978	10
sh600981	7.4
sh600993	20.49
sh600998	19.24
sh600999	16.8
sh601000	5.46
sh601001	5.01
sh601002	8.32
sh601006	8.46
sh601009	11.1
sh601010	4.15
sh601012	14.83
sh601016	4.03
sh601018	5.58
sh601021	33.92
sh601088	21.55
sh601098	17.21
sh601099	4
sh601106	3.08
sh601111	9.99
sh601117	6.49
sh601118	5.34
sh601127	18.03
sh601128	11.58
sh601139	8.31
sh601155	16.91
sh601158	7.6
sh601163	25.96
sh601166	16.5
sh601168	6.75
sh601169	8.92
sh601179	5.36
sh601186	11.91
sh601198	16.8
sh601211	19.01
sh601216	4.85
sh601225	5.93
sh601229	23.55
sh601231	12.37
sh601233	12.44
sh601238	25.6
sh601258	3.06
sh601288	3.51
sh601311	13.51
sh601318	45.18
sh601328	6.17
sh601333	4.36
sh601336	52.3
sh601390	8.8
sh601398	5.23
sh601555	11.1
sh601600	4.26
sh601601	29.94
sh601607	25.19
sh601611	11.75
sh601618	4.92
sh601628	28.58
sh601633	11.9
sh601668	9.33
sh601669	7.86
sh601678	6.31
sh601688	17.39
sh601689	30.79
sh601699	7.12
sh601718	8.31
sh601727	6.84
sh601766	10.01
sh601777	7.99
sh601788	15.27
sh601800	15.42
sh601801	12.93
sh601808	12.28
sh601811	15.81
sh601818	3.97
sh601857	7.8
sh601866	3.5
sh601877	18.45
sh601880	2.84
sh601886	10.8
sh601888	55.48
sh601898	5.37
sh601899	3.28
sh601901	8.92
sh601908	4.67
sh601928	9.41
sh601929	3.44
sh601933	6.58
sh601939	6.37
sh601958	6.74
sh601966	18.84
sh601969	10.65
sh601985	7.63
sh601988	3.7
sh601989	6.21
sh601991	5.04
sh601992	6.75
sh601997	15.48
sh601998	6.18
sh603000	13.32
sh603001	18.34
sh603005	28.29
sh603019	29.52
sh603025	26
sh603077	4.91
sh603160	90.57
sh603169	13.92
sh603188	16.89
sh603198	18.74
sh603288	38.83
sh603328	29.31
sh603355	52.15
sh603369	12.31
sh603377	36.38
sh603421	27.43
sh603515	33.57
sh603528	41.1
sh603555	21.24
sh603567	16.23
sh603568	21.29
sh603569	35.51
sh603589	34.77
sh603658	39.49
sh603698	23.63
sh603766	7.01
sh603806	31.39
sh603816	51.7
sh603866	34.65
sh603868	56.21
sh603883	44.32
sh603885	21.59
sh603993	4.23
sz000001	9.1
sz000002	20.55
sz000006	8.46
sz000008	7.14
sz000009	7.32
sz000012	8.85
sz000021	8.24
sz000025	34.4
sz000027	6.64
sz000028	75.6
