V1		bench	correl
126	sh600317	营口港	sh000001	0.582968288129826
127	sh600320	振华重工	sh000001	0.717906557097649
128	sh600325	华发股份	sz399001	0.704883893854197
129	sh600329	中新药业	sh000905	0.685048007750136
130	sh600332	白云山	sh000905	0.592523108918619
131	sh600335	国机汽车	sh000905	0.574149483683391
132	sh600338	西藏珠峰	sh000905	0.532102040066667
133	sh600340	华夏幸福	sh000001	0.0291091798569108
134	sh600346	恒力股份	sh000905	0.555621671076739
135	sh600348	阳泉煤业	sh000300	0.72522255957826
136	sh600350	山东高速	sh000001	0.712354777050589
137	sh600351	亚宝药业	sh000905	0.708329450312323
138	sh600352	浙江龙盛	sh000905	0.64592803619036
139	sh600362	江西铜业	sh000300	0.757123679670164
140	sh600366	宁波韵升	sh000905	0.692959548457006
141	sh600369	西南证券	sh000300	0.746270449251284
142	sh600372	中航电子	sh000905	0.342679060407956
143	sh600373	中文传媒	sz399006	0.622385591796793
144	sh600376	首开股份	sh000300	0.651061733977418
145	sh600377	宁沪高速	sh000001	0.644858471420622
146	sh600380	健康元	sh000905	0.715698400051511
147	sh600383	金地集团	sh000300	0.607428350651498
148	sh600388	龙净环保	sh000905	0.721792022276724
149	sh600392	盛和资源	sh000905	0.537824665949402
150	sh600395	盘江股份	sz399001	0.684869078990876
151	sh600397	安源煤业	sh000905	0.664171790312862
152	sh600398	海澜之家	sh000905	0.585619728263941
153	sh600406	国电南瑞	sh000905	0.621512664641257
154	sh600409	三友化工	sh000905	0.655012644366232
155	sh600410	华胜天成	sh000905	0.689843914115893
156	sh600415	小商品城	sh000905	0.659619463617381
157	sh600416	湘电股份	sh000905	0.673509527869411
158	sh600418	江淮汽车	sh000905	0.684476785272892
159	sh600422	昆药集团	sh000905	0.633802055037172
160	sh600425	*ST青松	sh000905	0.633646058572243
161	sh600426	华鲁恒升	sh000905	0.747251117763922
162	sh600428	中远海特	sh000001	0.668582051163641
163	sh600433	冠豪高新	sh000905	0.552860908232747
164	sh600435	北方导航	sh000905	0.625560369243248
165	sh600436	片仔癀	sh000905	0.545747539430079
166	sh600438	通威股份	sh000905	0.680180825768653
167	sh600446	金证股份	sz399006	0.6414603589897
168	sh600458	时代新材	sh000905	0.69373681582249
169	sh600460	士兰微	sh000905	0.749734230673373
170	sh600466	蓝光发展	sh000905	0.634005074475706
171	sh600468	百利电气	sh000905	0.631796364031087
172	sh600478	科力远	sh000905	0.57402888723119
173	sh600481	双良节能	sh000905	0.726120611322587
174	sh600482	中国动力	sh000905	0.639356625098247
175	sh600483	福能股份	sh000905	0.621468480798455
176	sh600485	信威集团	sh000905	0.581866018832222
177	sh600487	亨通光电	sh000905	0.690734658400769
178	sh600489	中金黄金	sh000001	0.542853457167869
179	sh600496	精工钢构	sh000905	0.689625090775596
180	sh600497	驰宏锌锗	sh000001	0.694790439557469
181	sh600498	烽火通信	sh000905	0.693648806881607
182	sh600499	科达洁能	sh000905	0.654959362132547
183	sh600500	中化国际	sh000905	0.717767245800445
184	sh600503	华丽家族	sh000905	0.616268298319429
185	sh600511	国药股份	sh000905	0.629271036203196
186	sh600515	海航基础	sh000905	0.514346785330205
187	sh600516	方大炭素	sh000905	0.676270158464308
188	sh600517	置信电气	sh000905	0.675394079899956
189	sh600518	康美药业	sh000905	0.577213574344335
190	sh600519	贵州茅台	sh000300	0.457462201198128
