V1	cummax	cummin	C	perc	potential
sh600460	16.46	15.3	15.69	0.336206896551723	0.0121096239643086
sh600466	10.17	9.58	9.66	0.135593220338983	0.0222567287784678
sh600477	9.46	9.06	9.37	0.774999999999996	-0.0117395944503733
sh600478	6.16	5.72	5.9	0.40909090909091	0.00677966101694905
sh600482	26.07	24.78	25.58	0.620155038759688	-0.00605942142298665
sh600483	7.91	7.58	7.85	0.818181818181817	-0.0133757961783439
sh600485	14.59	14.59	14.59	NA	0
sh600486	50.73	47.89	49.99	0.739436619718311	-0.0136027205441088
sh600487	38.4	35.45	35.64	0.0644067796610163	0.0360549943883277
sh600489	9.9	9.31	9.77	0.779661016949151	-0.0168884339815761
sh600490	9.08	8.5	8.52	0.0344827586206889	0.0316901408450703
sh600491	10.99	10.42	10.59	0.298245614035087	0.0108593012275733
sh600497	6.45	6.21	6.23	0.0833333333333352	0.016051364365971
sh600498	29.66	27.88	28.17	0.162921348314608	0.0212992545260915
sh600499	9.93	9.14	9.2	0.0759493670886061	0.036413043478261
sh600500	7.38	7.1	7.16	0.214285714285716	0.011173184357542
sh600503	5.85	5.52	5.53	0.0303030303030323	0.0280289330922241
sh600507	15.33	13.6	13.72	0.0693641618497115	0.0543002915451893
sh600511	31.78	30.23	30.78	0.35483870967742	0.00730994152046782
sh600515	11.16	11.16	11.16	NA	0
sh600516	27.1	25.08	25.12	0.0198019801980211	0.0386146496815287
sh600518	22.54	21.72	22.43	0.865853658536586	-0.0133749442710656
sh600519	700.43	674.11	694.01	0.756079027355624	-0.00971167562427055
sh600521	36.68	32.17	33.99	0.403547671840355	0.0127978817299204
sh600522	12.48	11.58	11.64	0.0666666666666672	0.0335051546391754
sh600525	18.05	16.8	17.08	0.223999999999998	0.0201990632318503
sh600528	11.67	11.2	11.35	0.319148936170213	0.00748898678414078
sh600535	45.77	43.2	43.4	0.0778210116731501	0.0249999999999999
sh600545	9.53	9.17	9.24	0.194444444444446	0.0119047619047619
sh600547	32	29.23	31.63	0.866425992779783	-0.0320897881757823
sh600548	8.4	8.24	8.33	0.562499999999999	-0.00120048019207686
sh600549	26.71	24.77	24.84	0.0360824742268042	0.0362318840579712
sh600550	6.65	6.2	6.21	0.0222222222222217	0.0346215780998391
sh600562	25.26	22.4	24.6	0.769230769230769	-0.0313008130081303
sh600563	47.04	42.2	43.37	0.241735537190082	0.0288217661978327
sh600565	3.89	3.73	3.75	0.125	0.016
sh600566	47.83	45	45.68	0.240282685512368	0.0160901926444834
sh600567	4.57	4.41	4.49	0.5	0
sh600568	6.49	6.49	6.49	NA	0
sh600570	65.78	60.51	61.79	0.242884250474383	0.0219291147434859
sh600572	7.2	6.9	7.03	0.433333333333333	0.00284495021337139
sh600575	3.97	3.65	3.7	0.156250000000001	0.0297297297297296
sh600578	3.51	3.41	3.46	0.5	0
sh600582	4.45	4.27	4.32	0.277777777777781	0.00925925925925908
sh600583	6.22	6.02	6.06	0.2	0.00990099009900991
sh600584	22.75	21.07	21.17	0.0595238095238104	0.0349551251771374
sh600585	34.19	31.9	32.37	0.205240174672489	0.0208526413345691
sh600588	38.68	33.7	34.39	0.13855421686747	0.0523407967432392
sh600597	12.85	12.36	12.75	0.79591836734694	-0.0113725490196078
sh600598	12.77	11.14	12.77	1	-0.0638214565387627
sh600600	43.47	40.2	42.49	0.700305810397554	-0.0154153918569075
sh600604	6.88	6.48	6.49	0.0249999999999995	0.0292758089368259
sh600606	7.5	7.16	7.18	0.0588235294117635	0.0208913649025071
sh600611	5.19	4.92	4.95	0.111111111111112	0.021212121212121
sh600612	42.17	40.5	41.89	0.832335329341317	-0.0132489854380521
sh600614	10.16	10.16	10.16	NA	0
sh600618	10.64	10.22	10.4	0.428571428571428	0.00288461538461537
sh600619	10.52	9.98	10.01	0.0555555555555545	0.0239760239760241
sh600621	14.87	13.3	14.62	0.840764331210191	-0.0365937072503418
sh600622	13.58	12.57	13.17	0.594059405940594	-0.00721336370539105
sh600623	10.2	9.7	9.83	0.260000000000002	0.0122075279755849
sh600633	13.94	13.07	13.08	0.011494252873563	0.0324923547400611
sh600635	5.19	4.7	4.72	0.0408163265306114	0.0476694915254239
sh600637	17.62	16.29	17.34	0.789473684210526	-0.0222029988465976
sh600639	15.68	15.13	15.16	0.0545454545454535	0.0161609498680739
sh600640	14.93	14.06	14.12	0.0689655172413779	0.0265580736543911
sh600642	5.79	5.66	5.67	0.0769230769230753	0.00970017636684295
sh600643	11.23	10.7	10.86	0.30188679245283	0.00966850828729293
sh600648	18.06	17.75	17.99	0.774193548387095	-0.00472484713729837
sh600649	8.07	7.79	7.81	0.0714285714285698	0.0153649167733676
sh600655	10.46	10.06	10.36	0.749999999999997	-0.00965250965250941
sh600660	24.96	23.73	24.27	0.439024390243902	0.00309023485784921
sh600663	19.1	18.75	18.81	0.171428571428567	0.00611376927166418
sh600664	5.34	5.11	5.27	0.695652173913042	-0.00853889943074004
sh600666	17.4	17.4	17.4	NA	0
sh600667	8.26	7.7	7.74	0.0714285714285715	0.0310077519379846
sh600673	10.89	10.29	10.74	0.75	-0.0139664804469274
sh600674	9.24	8.98	9.11	0.499999999999997	0
sh600675	5.55	5.36	5.39	0.157894736842102	0.0120593692022264
sh600681	12.15	11.56	11.87	0.525423728813557	-0.00126368997472615
sh600682	33.28	33.28	33.28	NA	0
sh600685	23.83	22	22.5	0.273224043715847	0.0184444444444445
sh600687	10.84	10.63	10.72	0.42857142857143	0.0013992537313432
sh600688	6	5.75	5.76	0.0399999999999991	0.0199652777777779
sh600690	17.94	17	17.66	0.702127659574467	-0.0107587768969423
sh600699	30.79	28.87	28.9	0.0156249999999988	0.0321799307958477
sh600701	9.22	9.22	9.22	NA	0
sh600702	38.58	35.1	37.77	0.767241379310346	-0.0246227164416203
sh600703	24.56	22.04	22.26	0.0873015873015883	0.0467205750224615
sh600704	6.66	6.31	6.32	0.0285714285714305	0.0261075949367087
sh600705	5.44	5.27	5.28	0.0588235294117684	0.0142045454545454
sh600708	7.04	6.62	6.76	0.333333333333333	0.0103550295857988
sh600711	8.65	8.65	8.65	NA	0
sh600715	12.7	11.78	11.82	0.0434782608695662	0.0355329949238576
sh600717	9.79	9.49	9.53	0.133333333333331	0.0115424973767053
sh600718	15.94	14.72	14.94	0.180327868852458	0.0261044176706828
sh600728	10.67	9.4	9.46	0.0472440944881894	0.0607822410147991
sh600737	7.86	7.65	7.72	0.333333333333331	0.00453367875647692
sh600739	18.79	17.9	18.13	0.258426966292135	0.0118587975730833
sh600741	24.5	23.43	23.87	0.411214953271029	0.0039798910766653
sh600745	30.3	28.1	28.61	0.231818181818181	0.020622160083887
sh600748	6.21	5.95	6.03	0.307692307692308	0.00829187396351583
sh600751	6.49	6.49	6.49	NA	0
sh600754	35.93	33.3	35.41	0.802281368821292	-0.0224512849477549
sh600755	9.5	9.1	9.21	0.275000000000003	0.00977198697068404
sh600759	3.94	3.94	3.94	NA	0
sh600771	52.3	49.02	49.78	0.231707317073171	0.0176777822418641
sh600777	3.25	3.25	3.25	NA	0
sh600779	45.68	41.88	44.9	0.794736842105263	-0.0249443207126948
sh600782	6.18	5.66	5.69	0.0576923076923082	0.040421792618629
sh600783	13.87	12.5	12.53	0.0218978102189776	0.0522745411013568
sh600787	9.7	9	9.52	0.742857142857143	-0.0178571428571429
sh600795	2.97	2.91	2.91	0	0.0103092783505156
sh600797	13.19	12.05	12.13	0.0701754385964914	0.0403957131079966
sh600801	15.49	14.81	14.85	0.0588235294117635	0.0202020202020203
sh600803	11.79	11.3	11.54	0.489795918367345	0.00043327556325834
sh600804	15.15	14.25	14.51	0.288888888888889	0.0130944176430048
sh600808	3.64	3.46	3.47	0.0555555555555568	0.0230547550432276
sh600809	59.58	51.8	58.12	0.812339331619537	-0.0418100481761872
sh600811	4.52	4.42	4.5	0.800000000000004	-0.00666666666666671
sh600816	11.84	11.44	11.45	0.0249999999999994	0.0165938864628823
sh600820	7.34	7.06	7.11	0.178571428571431	0.0126582278481011
sh600823	5.12	4.96	4.98	0.125000000000003	0.0120481927710843
sh600827	11.11	10.58	10.6	0.037735849056603	0.0231132075471698
sh600828	6.54	6.36	6.47	0.611111111111109	-0.00309119010819159
sh600835	23.38	21.2	22.17	0.444954128440368	0.00541271989174552
sh600837	11.92	11.47	11.6	0.288888888888887	0.00818965517241388
sh600839	3.15	3.03	3.04	0.0833333333333352	0.0164473684210527
sh600841	12.8	12.16	12.31	0.234375	0.0138099106417546
sh600845	28.96	26.54	26.61	0.0289256198347108	0.0428410372040586
sh600848	26.5	24.45	26.1	0.804878048780489	-0.0239463601532567
sh600856	11.39	11.39	11.39	NA	0
sh600859	20.25	19.37	19.43	0.0681818181818168	0.0195573854863613
sh600862	9.09	8.58	8.89	0.607843137254903	-0.00618672665916753
sh600863	2.72	2.65	2.67	0.285714285714285	0.00561797752809001
sh600864	6.55	6.29	6.35	0.230769230769229	0.0110236220472442
sh600867	26.87	25.35	25.55	0.131578947368421	0.021917808219178
sh600869	5.59	5.43	5.51	0.5	0
sh600871	2.05	1.99	2.01	0.333333333333331	0.00497512437810954
sh600872	25.94	23.64	25.75	0.917391304347826	-0.0372815533980583
sh600873	5.19	5.07	5.07	0	0.0118343195266273
sh600874	14.17	13.23	13.37	0.148936170212765	0.024682124158564
sh600875	9.24	8.8	9.04	0.545454545454543	-0.00221238938053092
sh600876	18.39	17.5	17.93	0.48314606741573	0.000836586726157273
sh600879	8.23	7.82	7.89	0.170731707317072	0.0171102661596958
sh600881	4.71	4.52	4.57	0.263157894736845	0.00984682713347929
sh600884	20.24	19.05	19.13	0.0672268907563012	0.0269210663878725
sh600885	42.27	39.16	39.57	0.131832797427654	0.0289360626737427
sh600886	7.09	6.92	6.93	0.0588235294117635	0.0108225108225108
sh600887	30.28	27.78	29.75	0.788	-0.0242016806722689
sh600893	29.78	27.68	28.63	0.452380952380952	0.00349283967865888
sh600895	14.45	13.56	13.7	0.157303370786516	0.0222627737226277
sh600900	16.08	15.82	15.86	0.153846153846152	0.00567465321563687
sh600908	7.25	6.96	7.06	0.344827586206895	0.00637393767705396
sh600909	7.18	6.92	6.93	0.0384615384615377	0.0173160173160174
sh600917	8.49	7.7	7.92	0.278481012658228	0.0220959595959598
sh600919	7.36	7.2	7.23	0.187500000000001	0.0069156293222683
sh600926	11.35	11.07	11.12	0.178571428571425	0.00809352517985618
sh600936	6.16	5.89	5.93	0.148148148148148	0.0160202360876898
sh600939	6.33	6.02	6.1	0.258064516129032	0.0122950819672132
sh600958	12.79	12.16	12.29	0.206349206349205	0.0150528885272581
sh600959	7.34	7.11	7.15	0.173913043478261	0.0104895104895104
sh600963	6.13	5.86	5.99	0.481481481481482	0.000834724540901499
sh600967	15.47	14.3	14.6	0.256410256410255	0.0195205479452056
sh600970	9.01	8.43	8.47	0.0689655172413809	0.0295159386068475
sh600977	16.85	16.33	16.43	0.192307692307694	0.00973828362751061
sh600978	7.97	7.71	7.92	0.807692307692308	-0.0101010101010101
sh600981	5.79	5.4	5.44	0.102564102564103	0.0284926470588236
sh600996	9.26	8.98	9	0.0714285714285701	0.0133333333333334
sh600998	20.25	19.1	19.79	0.599999999999999	-0.00581101566447695
sh600999	17.87	17.12	17.13	0.0133333333333307	0.0213076474022185
sh601000	4.99	4.72	4.82	0.370370370370372	0.00726141078838172
sh601003	6.06	5.56	5.57	0.0200000000000014	0.0430879712746857
sh601006	8.34	8.07	8.08	0.0370370370370363	0.0154702970297029
sh601009	8.25	7.95	8.16	0.7	-0.00735294117647067
sh601011	7.63	7.11	7.16	0.0961538461538459	0.0293296089385475
sh601012	34.5	32.4	32.56	0.0761904761904779	0.0273341523341524
sh601016	3.14	3.03	3.06	0.272727272727274	0.00816993464052285
sh601018	5.34	5.26	5.26	0	0.00760456273764265
sh601020	19.85	17.65	18.39	0.336363636363637	0.0195758564437194
sh601021	30.97	29.62	30.75	0.837037037037038	-0.0147967479674797
sh601069	24	19.66	23.67	0.923963133640553	-0.0777355302070132
sh601088	21.3	20.13	20.16	0.0256410256410266	0.0275297619047619
sh601098	12.85	12.52	12.64	0.363636363636367	0.00356012658227844
sh601099	2.94	2.83	2.85	0.181818181818182	0.0122807017543858
sh601106	3.53	3.41	3.44	0.249999999999999	0.00872093023255816
sh601107	3.96	3.86	3.87	0.100000000000002	0.0103359173126616
sh601111	12.2	11.35	11.49	0.164705882352942	0.0248041775456918
sh601117	7.49	7.05	7.08	0.0681818181818187	0.0268361581920904
sh601118	6.38	6.02	6.33	0.861111111111112	-0.0205371248025278
sh601127	20.8	18.83	20.49	0.842639593908629	-0.0329428989751098
sh601128	7.14	6.82	6.85	0.0937499999999982	0.0189781021897812
sh601139	7.82	7.33	7.39	0.122448979591836	0.0250338294993235
sh601155	36.73	34.3	34.99	0.283950617283953	0.0150042869391254
sh601158	6.74	6.58	6.65	0.437500000000001	0.00150375939849612
sh601163	17.2	16.81	16.9	0.23076923076923	0.00621301775147942
sh601166	16.83	16.32	16.33	0.0196078431372511	0.0150030618493571
sh601168	6.87	6.57	6.59	0.0666666666666653	0.0197268588770867
sh601169	6.94	6.8	6.81	0.0714285714285696	0.00881057268722474
sh601179	4.16	4.04	4.06	0.166666666666663	0.00985221674876846
sh601186	9.98	9.75	9.77	0.0869565217391284	0.00972364380757429
sh601198	14.73	13.91	14.12	0.256097560975609	0.0141643059490086
sh601200	18.84	18.09	18.39	0.400000000000001	0.00407830342577475
sh601211	17.46	16.88	17.11	0.39655172413793	0.00350672121566342
sh601212	6.53	6.15	6.26	0.289473684210525	0.0127795527156549
sh601216	4.71	4.71	4.71	NA	0
sh601222	8.08	7.67	7.68	0.0243902439024385	0.025390625
sh601225	7.97	7.56	7.64	0.195121951219512	0.0163612565445026
sh601228	5.64	5.3	5.63	0.970588235294118	-0.0284191829484902
sh601229	14.88	14.46	14.48	0.0476190476190466	0.0131215469613259
sh601231	13.28	12.44	12.49	0.0595238095238104	0.0296236989591672
sh601233	23.12	21.5	21.95	0.277777777777777	0.0164009111617314
sh601238	22.3	21	21.02	0.015384615384615	0.0299714557564223
sh601258	2.41	2.29	2.3	0.0833333333333315	0.0217391304347827
sh601288	3.93	3.81	3.81	0	0.015748031496063
sh601311	13.22	12.7	12.82	0.230769230769232	0.0109204368174727
sh601318	66.25	63.84	64.55	0.294605809128629	0.00766847405112325
sh601326	5.65	5.33	5.57	0.75	-0.0143626570915619
sh601328	6.22	6.1	6.12	0.16666666666667	0.00653594771241828
sh601333	4.62	4.48	4.49	0.0714285714285701	0.0133630289532296
sh601336	46.53	44.78	45.5	0.411428571428571	0.00340659340659344
sh601375	6.45	6.14	6.17	0.0967741935483877	0.0202593192868719
sh601377	6.82	6.57	6.68	0.439999999999998	0.0022455089820359
sh601390	7.47	7.36	7.37	0.0909090909090894	0.00610583446404345
sh601398	6.12	5.84	5.87	0.107142857142858	0.0187393526405453
sh601515	9.2	8.8	9.07	0.675000000000001	-0.00771775082690196
sh601555	8.52	8.2	8.23	0.0937500000000035	0.0157958687727824
sh601567	9.29	8.81	9.16	0.729166666666668	-0.0120087336244541
sh601588	4.39	4.18	4.21	0.142857142857144	0.0178147268408551
sh601600	4.79	4.42	4.43	0.0270270270270264	0.0395033860045149
sh601601	34.48	32.84	33.18	0.20731707317073	0.0144665461121156
sh601607	25.51	23.98	25.08	0.718954248366011	-0.0133572567783093
sh601608	3.66	3.49	3.53	0.235294117647057	0.0127478753541077
sh601611	9.81	9.39	9.45	0.14285714285714	0.015873015873016
sh601618	3.86	3.77	3.8	0.333333333333332	0.0039473684210527
sh601619	7.9	7.9	7.9	NA	0
sh601628	25.84	25	25.02	0.0238095238095233	0.0159872102318146
sh601633	11.54	11.2	11.33	0.382352941176473	0.00353045013239184
sh601636	6.02	5.61	5.65	0.0975609756097564	0.0292035398230086
sh601666	5.4	5.05	5.07	0.0571428571428584	0.0305719921104535
sh601668	8.74	8.5	8.51	0.0416666666666657	0.0129259694477086
sh601669	6.74	6.51	6.52	0.0434782608695642	0.0161042944785277
sh601688	18.17	17.28	17.56	0.314606741573031	0.00939635535307537
sh601689	21.28	20.07	20.98	0.752066115702479	-0.0145376549094376
sh601699	11.09	10.13	10.28	0.156249999999999	0.0321011673151752
sh601717	6.57	6.22	6.47	0.714285714285713	-0.0115919629057187
sh601718	5.67	5.31	5.32	0.0277777777777796	0.0319548872180451
sh601727	5.97	5.77	5.78	0.0500000000000033	0.0155709342560553
sh601766	10.09	9.78	9.78	0	0.0158486707566461
sh601788	12.67	12.29	12.38	0.236842105263162	0.00807754442649422
sh601799	56.2	52.25	55.12	0.726582278481012	-0.0162373004354136
sh601800	13.3	12.82	13.03	0.437499999999998	0.00230237912509601
sh601801	10.02	9.32	9.7	0.542857142857142	-0.00309278350515463
sh601808	11.67	11.1	11.34	0.421052631578948	0.00396825396825395
sh601811	13.13	12.35	12.36	0.0128205128205125	0.0307443365695794
sh601818	4.11	4.01	4.03	0.200000000000004	0.00744416873449127
sh601857	7.72	7.44	7.46	0.0714285714285701	0.0160857908847185
sh601866	3.13	2.99	3	0.0714285714285701	0.02
sh601872	3.75	3.6	3.61	0.0666666666666653	0.0180055401662049
sh601877	27.16	25.42	26.01	0.339080459770115	0.0107650903498653
sh601878	13.15	12.33	12.47	0.170731707317074	0.0216519647153168
sh601880	2.53	2.47	2.48	0.166666666666664	0.00806451612903225
sh601881	10.65	10.14	10.19	0.0980392156862725	0.020117762512267
sh601886	9.12	8.71	8.77	0.146341463414632	0.0165336374002281
sh601888	55	52.13	52.98	0.296167247386758	0.0110419026047566
sh601898	5.16	5	5	0	0.016
sh601899	4.46	4.31	4.35	0.266666666666666	0.00804597701149423
sh601901	6.31	6.11	6.12	0.0499999999999991	0.0147058823529411
sh601919	5.95	5.59	5.6	0.0277777777777772	0.0303571428571427
sh601928	7.44	7.25	7.27	0.105263157894734	0.0103163686382395
sh601933	10.2	9.81	9.9	0.230769230769231	0.0106060606060605
sh601939	7.82	7.33	7.38	0.10204081632653	0.0264227642276422
sh601949	6.62	6.26	6.26	0	0.0287539936102237
sh601952	12.65	11.79	12.39	0.697674418604652	-0.013720742534302
sh601958	6.92	6.66	6.69	0.115384615384616	0.014947683109118
sh601966	17.63	17	17.17	0.269841269841273	0.00844496214327295
sh601969	7.72	7.12	7.55	0.716666666666667	-0.0172185430463576
sh601985	6.75	6.61	6.66	0.357142857142857	0.00300300300300305
sh601988	3.94	3.83	3.85	0.181818181818182	0.00909090909090904
sh601989	5.58	5.31	5.5	0.703703703703704	-0.0099999999999999
sh601991	3.68	3.52	3.52	0	0.0227272727272727
sh601992	5.02	4.77	4.79	0.0800000000000018	0.0219206680584549
sh601997	14.84	14.35	14.56	0.42857142857143	0.00240384615384603
sh601998	6.51	6.28	6.32	0.173913043478261	0.0118670886075949
sh603000	11.46	10.85	10.96	0.180327868852461	0.0177919708029197
sh603019	55.87	50.4	51.74	0.244972577696527	0.026961731735601
sh603025	32.5	31	31.26	0.173333333333334	0.0156749840051182
sh603055	15.09	14.26	14.5	0.289156626506024	0.0120689655172415
sh603077	2.09	2.05	2.06	0.250000000000006	0.00485436893203883
sh603113	19.4	18.15	18.35	0.160000000000002	0.0231607629427792
sh603157	16.47	15.65	15.7	0.0609756097560964	0.0229299363057325
sh603160	98.1	91.5	92.03	0.0803030303030305	0.0300988807997391
sh603198	15.8	15.13	15.2	0.104477611940296	0.0174342105263159
sh603218	21	19.71	20.37	0.511627906976745	-0.000736377025036816
sh603225	24.7	23.5	23.77	0.225	0.0138830458561212
sh603228	53.29	49.7	50.58	0.245125348189414	0.0180901542111507
sh603233	60.1	54.77	56.07	0.24390243902439	0.0243445692883895
sh603288	60.05	54.82	59.38	0.871892925430211	-0.0327551364095655
sh603298	15.05	14.42	14.75	0.523809523809523	-0.00101694915254236
sh603305	36	30.26	32.17	0.332752613240418	0.029841467205471
sh603323	7.94	7.57	7.65	0.216216216216216	0.0137254901960784
sh603328	12.71	12.23	12.33	0.208333333333332	0.0113544201135443
sh603355	32.87	30.64	32.17	0.686098654708522	-0.0129002175940318
sh603369	17.25	15.23	16.88	0.816831683168316	-0.0379146919431278
sh603377	38	36.72	37.61	0.6953125	-0.00664716830630152
sh603421	23.88	21.35	22.33	0.387351778656126	0.0127630989699956
sh603444	173.85	155.5	158.9	0.185286103542235	0.0363436123348018
sh603501	41.75	37.9	39.31	0.366233766233767	0.013100992113966
sh603515	49.96	45.31	48.61	0.709677419354838	-0.0200576013166014
sh603517	35.98	34.66	35.59	0.70454545454546	-0.00758640067434702
sh603555	25	24.35	24.6	0.384615384615385	0.00304878048780477
sh603556	35.4	34.22	34.99	0.652542372881359	-0.00514432695055733
sh603567	14.36	13.71	14.1	0.599999999999999	-0.00460992907801416
sh603568	22.05	20.93	21.8	0.776785714285715	-0.0142201834862384
sh603569	23.59	21.51	22.94	0.6875	-0.0170008718395815
sh603589	45.45	42.1	45.01	0.868656716417909	-0.0274383470339923
sh603603	26.21	26.21	26.21	NA	0
sh603612	44.49	41.5	42.3	0.267558528428093	0.0164302600472814
sh603626	25.93	24.35	24.97	0.392405063291138	0.00680816980376453
sh603658	60.2	54.55	56.89	0.414159292035398	0.00852522411671641
sh603678	28.99	26.98	28.2	0.606965174129353	-0.00762411347517733
sh603699	19.91	19.08	19.17	0.108433734939763	0.0169535732916013
sh603730	33.73	32.3	32.7	0.279720279720284	0.00963302752293571
sh603766	6.81	6.41	6.51	0.249999999999999	0.0153609831029184
sh603799	119.45	107.81	111.79	0.34192439862543	0.0164594328651935
sh603806	37.85	35.92	36.54	0.321243523316061	0.00944170771756991
sh603816	65.3	61.34	64.02	0.676767676767676	-0.0109340830990314
sh603833	140.99	135.55	136.12	0.104779411764705	0.0157948868645312
sh603858	53.49	50.66	51.62	0.339222614840989	0.00881441301821018
sh603866	49.68	47.55	49.14	0.746478873239437	-0.0106837606837608
sh603868	56.98	54.01	56.05	0.686868686868687	-0.00990187332738623
sh603877	31.25	28.68	30.74	0.801556420233462	-0.0252114508783343
sh603882	31.38	29.65	30.67	0.589595375722545	-0.00505379850016308
sh603883	75.38	70	70.01	0.00185873605948051	0.0382802456791886
sh603885	15.03	14.22	14.29	0.086419753086418	0.023442967109867
sh603888	22.15	20.91	21.03	0.096774193548388	0.0237755587256301
sh603899	32.08	29.4	30.18	0.291044776119403	0.0185553346587144
sh603939	61.18	56.94	58.16	0.287735849056603	0.015474552957359
sh603986	215.67	198.59	199.85	0.0737704918032782	0.0364273204903678
sh603993	8.41	7.93	7.96	0.0625000000000005	0.0263819095477387
sz000001	11.01	10.51	10.87	0.719999999999999	-0.0101195952161913
sz000002	34.47	32.1	32.8	0.295358649789028	0.0147865853658535
sz000006	7.39	7.05	7.15	0.294117647058825	0.00979020979020961
sz000008	6.92	6.67	6.71	0.16	0.0126676602086437
sz000009	6.32	5.9	6.26	0.857142857142856	-0.023961661341853
sz000012	7.71	7.35	7.51	0.444444444444444	0.00266311584553924
sz000016	7.26	6.8	7.12	0.695652173913044	-0.0126404494382023
sz000018	6.25	6.02	6.12	0.434782608695654	0.00245098039215685
