D,T,O,H,L,C,chg,chgSq,cumChg,rowN,meanSoFar,stdMean,sd
2017-08-24,931,5.88,5.88,5.85,5.86,-0.00340136054421758,1.15692535517601e-05,-0.00340136054421758,1,-0.00340136054421758,-0.816326530612219,NA
2017-08-24,932,5.86,5.87,5.85,5.86,0,0,-0.00340136054421758,2,-0.00170068027210879,-0.40816326530611,0.00240512510607662
2017-08-24,933,5.86,5.88,5.85,5.87,0.00170648464163814,2.91208983214685e-06,-0.00169487590257944,3,-0.000564958634193147,-0.135590072206355,0.00260036618660323
2017-08-24,934,5.88,5.89,5.87,5.89,0.00340715502555367,1.16087053681556e-05,0.00171227912297423,4,0.000428069780743556,0.102736747378454,0.00290729391951343
2017-08-24,935,5.89,5.9,5.88,5.89,0,0,0.00171227912297423,5,0.000342455824594845,0.0821893979027628,0.00252505786038003
2017-08-24,936,5.88,5.9,5.88,5.89,0,0,0.00171227912297423,6,0.000285379853829038,0.068491164918969,0.00226280351715449
2017-08-24,937,5.88,5.9,5.88,5.9,0.00169779286927008,2.88250062694432e-06,0.0034100719922443,7,0.000487153141749186,0.116916754019805,0.00213351517822873
2017-08-24,938,5.9,5.91,5.9,5.9,0,0,0.0034100719922443,8,0.000426258999030538,0.102302159767329,0.00198274612973921
2017-08-24,939,5.9,5.91,5.89,5.9,0,0,0.0034100719922443,9,0.000378896888027145,0.0909352531265147,0.00186012377656693
2017-08-24,940,5.9,5.91,5.89,5.9,0,0,0.0034100719922443,10,0.00034100719922443,0.0818417278138632,0.00175782979455976
2017-08-24,941,5.89,5.9,5.89,5.9,0,0,0.0034100719922443,11,0.000310006544749482,0.0744015707398757,0.00167079037414465
2017-08-24,942,5.9,5.91,5.89,5.91,0.00169491525423715,2.87273771904578e-06,0.00510498724648145,12,0.000425415603873454,0.102099744929629,0.00164243571524468
2017-08-24,943,5.9,5.93,5.9,5.93,0.00338409475465307,1.14520973084704e-05,0.00848908200113452,13,0.000653006307779578,0.156721513867099,0.00177374275456646
