D,T,O,H,L,C,V
2/9/2017,1056,3181.36,3181.8,3181.06,3181.06,71785
2/9/2017,1057,3181.41,3181.65,3180.97,3181.11,65420
2/9/2017,1058,3180.6,3181.46,3180.48,3180.48,63550
2/9/2017,1059,3180.45,3181.08,3179.97,3179.97,71320
2/9/2017,1100,3180.21,3180.45,3179.72,3180.16,66688
2/9/2017,1101,3180.07,3180.6,3179.85,3180.22,71122
2/9/2017,1102,3180.06,3180.12,3178.94,3179.09,67938
2/9/2017,1103,3179.58,3180.29,3179.11,3179.54,75916
2/9/2017,1104,3179.19,3179.94,3178.43,3178.56,73099
2/9/2017,1105,3178.32,3179.17,3178.01,3178.01,71605
2/9/2017,1106,3178.43,3178.6,3177.42,3177.91,74649
2/9/2017,1107,3177.92,3178.01,3177.39,3177.6,70045
2/9/2017,1108,3177.55,3178.05,3177.14,3177.37,70371
2/9/2017,1109,3177.43,3179.06,3177.4,3179.06,68634
2/9/2017,1110,3178.8,3179.09,3178.13,3178.38,69967
2/9/2017,1111,3178.55,3179.46,3178.55,3179.07,66702
2/9/2017,1112,3178.49,3179.35,3178.48,3178.98,73903
2/9/2017,1113,3178.74,3179.46,3178.7,3178.85,63902
2/9/2017,1114,3178.73,3180.19,3178.73,3179.39,61480
2/9/2017,1115,3179.74,3180.14,3179.17,3179.59,62791
2/9/2017,1116,3179.67,3180.17,3179.2,3179.77,60986
2/9/2017,1117,3179.85,3179.93,3178.99,3178.99,59020
2/9/2017,1118,3179.04,3179.61,3178.58,3178.61,65852
2/9/2017,1119,3178.86,3179.15,3178.12,3178.12,60353
2/9/2017,1120,3178.37,3178.77,3178.02,3178.02,54302
2/9/2017,1121,3177.9,3178.68,3177.67,3178.68,55307
2/9/2017,1122,3178.13,3178.61,3177.57,3178.04,63942
2/9/2017,1123,3178.15,3178.41,3177.45,3178.11,47632
2/9/2017,1124,3177.63,3178.31,3177.63,3177.76,55274
2/9/2017,1125,3178,3178.6,3177.66,3177.89,58506
2/9/2017,1126,3178.21,3178.59,3177.69,3178.11,50723
2/9/2017,1127,3177.62,3178.59,3177.45,3178,56977
2/9/2017,1128,3178.37,3178.62,3177.89,3178.53,57479
2/9/2017,1129,3178.88,3178.88,3177.46,3178.54,58367
2/9/2017,1300,3178.65,3180.53,3178.19,3180.53,186491
2/9/2017,1301,3180.53,3180.53,3180.53,3180.53,0
2/9/2017,1302,3180.45,3180.64,3179.55,3180.12,45288
2/9/2017,1303,3180.2,3180.6,3178.87,3178.87,43344
2/9/2017,1304,3179.3,3180.42,3179.3,3180.35,56931
2/9/2017,1305,3180.17,3180.17,3179.49,3180.16,45158
2/9/2017,1306,3180.03,3180.14,3179.02,3179.73,47642
2/9/2017,1307,3179.47,3179.91,3178.84,3179.57,46403
2/9/2017,1308,3179.43,3179.95,3178.83,3179.41,48066
2/9/2017,1309,3179.44,3179.81,3178.54,3178.75,45322
2/9/2017,1310,3179.04,3179.47,3178.58,3178.99,48440
2/9/2017,1311,3179.19,3179.51,3178.4,3179.51,53258
2/9/2017,1312,3179.57,3179.71,3178.63,3179.36,51366
2/9/2017,1313,3179.24,3179.98,3179.06,3179.98,60007
2/9/2017,1314,3180.01,3180.01,3179.12,3179.12,47668
2/9/2017,1315,3179.56,3180.81,3179.49,3180.81,55098
2/9/2017,1316,3179.84,3180.7,3179.63,3180.07,57309
2/9/2017,1317,3180.28,3180.87,3179.85,3180.41,59086
2/9/2017,1318,3180.44,3181.18,3180.28,3181.18,65579
2/9/2017,1319,3180.36,3181.23,3180.26,3181.23,63120
2/9/2017,1320,3181.17,3181.78,3180.78,3181.51,62418
2/9/2017,1321,3180.78,3181.65,3180.78,3181.32,63130
2/9/2017,1322,3181.79,3182.08,3180.67,3181.59,62382
2/9/2017,1323,3181.48,3182.41,3181.4,3181.69,66595
2/9/2017,1324,3182.14,3182.5,3181.87,3182.09,67498
2/9/2017,1325,3182.16,3182.72,3181.67,3182.03,65763
2/9/2017,1326,3182.02,3182.94,3182.02,3182.28,65837
2/9/2017,1327,3183,3183.29,3182.08,3182.55,71383
2/9/2017,1328,3182.71,3183.32,3182.01,3182.33,70868
2/9/2017,1329,3182.49,3182.87,3181.88,3182.22,63874
2/9/2017,1330,3182.29,3182.29,3180.92,3180.92,58828
2/9/2017,1331,3180.86,3181.65,3180.33,3181.04,74134
2/9/2017,1332,3180.38,3181.12,3180.29,3180.89,64977
2/9/2017,1333,3180.63,3180.66,3179.71,3180.34,55554
2/9/2017,1334,3180.42,3180.5,3179.67,3180.18,62927
2/9/2017,1335,3179.5,3179.83,3178.96,3179.05,53439
2/9/2017,1336,3179.32,3179.67,3178.62,3178.62,57157
2/9/2017,1337,3179.23,3179.23,3178.54,3179,60873
2/9/2017,1338,3179.07,3179.23,3177.93,3177.93,60964
2/9/2017,1339,3177.65,3178.52,3177.54,3178.52,67601
2/9/2017,1340,3177.85,3178.41,3177.25,3177.58,57579
2/9/2017,1341,3177.87,3178.38,3177.34,3178.25,82049
2/9/2017,1342,3178.42,3178.83,3177.7,3177.7,68621
2/9/2017,1343,3178.52,3179.14,3178.05,3178.72,62219
2/9/2017,1344,3178.82,3179.13,3178.17,3178.95,57266
2/9/2017,1345,3179.16,3179.16,3178.4,3179,59871
2/9/2017,1346,3178.47,3179.1,3178.01,3178.78,57379
2/9/2017,1347,3179.13,3179.13,3177.85,3178.45,65322
2/9/2017,1348,3178.47,3178.74,3177.62,3178.18,61459
2/9/2017,1349,3178.3,3178.8,3177.71,3177.98,58218
2/9/2017,1350,3177.93,3178.27,3177.28,3177.8,60697
2/9/2017,1351,3177.8,3177.8,3176.58,3176.58,65812
2/9/2017,1352,3177.01,3177.06,3176.22,3177.01,64359
