delta impact check PASSED  85471
******** 4-15 21:29
2021 108 ADDER BUY: WIT 4-15 21:29:52.092 2021 BUY DAY LMT 2900.0 4.38 BREACH_ADDER Created yOpen 3.85 mOpen 3.98 prevClose 4.4 price 4.41 devFromMaxOpen 0.108
2021 108 *PATIENT DEV FILL* Submitted->Filled 4-15 21:48:36.456 WIT 4-15 21:29:52.092 2021 BUY DAY LMT 2900.0 4.38 BREACH_ADDER Filled
******** 2019-05-01T22:07:17.377
5335 3393 Cutter SELL: added?false WIT 5-1 22:07:17.377 5335 SELL IOC LMT 2900.0 4.57 BREACH_CUTTER Created pos 2900.0 yOpen 3.85 mOpen 4.57 price 4.56
5335 5335 -> 5336 ID 3393 -> 3394 RESUBMIT: WIT 5-1 22:07:17.671 5336 SELL IOC LMT 2900.0 4.57 BREACH_CUTTER Created b/a sprd last 4.56 4.57 22bp 4.56 attempts  1 pos: 2900.0
5335 5336 -> 5337 ID 3394 -> 3395 RESUBMIT: WIT 5-1 22:07:17.992 5337 SELL IOC LMT 2900.0 4.57 BREACH_CUTTER Created b/a sprd last 4.56 4.57 22bp 4.56 attempts  2 pos: 2900.0
5335 5337 -> 5338 ID 3395 -> 3396 RESUBMIT: WIT 5-1 22:07:18.291 5338 SELL IOC LMT 2900.0 4.57 BREACH_CUTTER Created b/a sprd last 4.56 4.57 22bp 4.56 attempts  3 pos: 2900.0
5335 5338 -> 5339 ID 3396 -> 3397 RESUBMIT: WIT 5-1 22:07:18.624 5339 SELL IOC LMT 2900.0 4.57 BREACH_CUTTER Created b/a sprd last 4.56 4.57 22bp 4.56 attempts  4 pos: 2900.0
5335 5339 -> 5340 ID 3397 -> 3398 RESUBMIT: WIT 5-1 22:07:18.928 5340 SELL IOC LMT 2900.0 4.57 BREACH_CUTTER Created b/a sprd last 4.56 4.57 22bp 4.56 attempts  5 pos: 2900.0
5335 5340 -> 5341 ID 3398 -> 3399 RESUBMIT: WIT 5-1 22:07:19.254 5341 SELL IOC LMT 2900.0 4.57 BREACH_CUTTER Created b/a sprd last 4.56 4.57 22bp 4.56 attempts  6 pos: 2900.0
5335 5341 -> 5342 ID 3399 -> 3400 RESUBMIT: WIT 5-1 22:07:19.567 5342 SELL IOC LMT 2900.0 4.57 BREACH_CUTTER Created b/a sprd last 4.56 4.57 22bp 4.56 attempts  7 pos: 2900.0
5335 5342 -> 5343 ID 3400 -> 3401 RESUBMIT: WIT 5-1 22:07:19.867 5343 SELL IOC LMT 2900.0 4.57 BREACH_CUTTER Created b/a sprd last 4.56 4.57 22bp 4.56 attempts  8 pos: 2900.0
5335 5343 -> 5344 ID 3401 -> 3402 RESUBMIT: WIT 5-1 22:07:20.174 5344 SELL IOC LMT 2900.0 4.57 BREACH_CUTTER Created b/a sprd last 4.56 4.57 22bp 4.56 attempts  9 pos: 2900.0
5335 5344 -> 5345 ID 3402 -> 3403 RESUBMIT: WIT 5-1 22:07:21.040 5345 SELL IOC LMT 2900.0 4.57 BREACH_CUTTER Created b/a sprd last 4.56 4.57 22bp 4.56 attempts  10 pos: 2900.0
5335 5345 -> 5346 ID 3403 -> 3404 RESUBMIT: WIT 5-1 22:07:21.418 5346 SELL IOC LMT 2900.0 4.57 BREACH_CUTTER Created b/a sprd last 4.56 4.57 22bp 4.56 attempts  11 pos: 2900.0
5335 5346 -> 5347 ID 3404 -> 3405 RESUBMIT: WIT 5-1 22:07:21.738 5347 SELL IOC LMT 2900.0 4.57 BREACH_CUTTER Created b/a sprd last 4.56 4.57 22bp 4.56 attempts  12 pos: 2900.0
5335 5347 -> 5348 ID 3405 -> 3406 RESUBMIT: WIT 5-1 22:07:22.174 5348 SELL IOC LMT 2900.0 4.57 BREACH_CUTTER Created b/a sprd last 4.56 4.57 22bp 4.56 attempts  13 pos: 2900.0
5335 5348 -> 5349 ID 3406 -> 3407 RESUBMIT: WIT 5-1 22:07:22.674 5349 SELL IOC LMT 2900.0 4.57 BREACH_CUTTER Created b/a sprd last 4.56 4.57 22bp 4.56 attempts  14 pos: 2900.0
5335 5349 -> 5350 ID 3407 -> 3408 RESUBMIT: WIT 5-1 22:07:23.676 5350 SELL IOC LMT 2900.0 4.57 BREACH_CUTTER Created b/a sprd last 4.56 4.57 22bp 4.56 attempts  15 pos: 2900.0
5335 5350 -> 5351 ID 3408 -> 3409 RESUBMIT: WIT 5-1 22:07:24.675 5351 SELL IOC LMT 2900.0 4.57 BREACH_CUTTER Created b/a sprd last 4.56 4.57 22bp 4.56 attempts  16 pos: 2900.0
5335 5351 -> 5352 ID 3409 -> 3410 RESUBMIT: WIT 5-1 22:07:25.674 5352 SELL IOC LMT 2900.0 4.57 BREACH_CUTTER Created b/a sprd last 4.56 4.57 22bp 4.56 attempts  17 pos: 2900.0
5335 5352 -> 5353 ID 3410 -> 3411 RESUBMIT: WIT 5-1 22:07:26.873 5353 SELL IOC LMT 2900.0 4.57 BREACH_CUTTER Created b/a sprd last 4.56 4.57 22bp 4.56 attempts  18 pos: 2900.0
5335 5353 -> 5354 ID 3411 -> 3412 RESUBMIT: WIT 5-1 22:07:28.674 5354 SELL IOC LMT 2900.0 4.57 BREACH_CUTTER Created b/a sprd last 4.56 4.57 22bp 4.56 attempts  19 pos: 2900.0
5335 5354 -> 5355 ID 3412 -> 3413 RESUBMIT: WIT 5-1 22:07:31.674 5355 SELL IOC LMT 2900.0 4.57 BREACH_CUTTER Created b/a sprd last 4.56 4.57 22bp 4.56 attempts  20 pos: 2900.0
5335 5355 -> 5356 ID 3413 -> 3414 RESUBMIT: WIT 5-1 22:08:17.731 5356 SELL IOC LMT 2900.0 4.57 BREACH_CUTTER Created b/a sprd last 4.56 4.57 22bp 4.57 attempts  21 pos: 2900.0
5335 5356 -> 5357 ID 3414 -> 3415 RESUBMIT: WIT 5-1 22:08:18.027 5357 SELL IOC LMT 2900.0 4.57 BREACH_CUTTER Created b/a sprd last 4.56 4.57 22bp 4.57 attempts  22 pos: 2900.0
5335 5357 -> 5358 ID 3415 -> 3416 RESUBMIT: WIT 5-1 22:08:18.345 5358 SELL IOC LMT 2900.0 4.57 BREACH_CUTTER Created b/a sprd last 4.56 4.57 22bp 4.57 attempts  23 pos: 2900.0
5335 5358 -> 5359 ID 3416 -> 3417 RESUBMIT: WIT 5-1 22:08:18.665 5359 SELL IOC LMT 2900.0 4.57 BREACH_CUTTER Created b/a sprd last 4.56 4.57 22bp 4.57 attempts  24 pos: 2900.0
