MCH.HK,11674.0,11668.0
sz300679,35.74,36.46
sz399006,1708.874,1707.056
sz000813,11.64,10.93
sh600409,7.21,7.33
sh600649,8.32,8.46
sh600406,22.27,21.76
sh600648,17.18,17.45
sh600887,28.05,28.56
sh600403,4.51,4.54
sh600886,8.49,8.35
sh600885,28.0,28.1
sh600643,11.82,11.8
sh600642,5.64,5.64
sh600884,15.6,15.66
sh600400,4.32,4.37
sh600640,13.8,13.19
sh600881,3.95,3.98
sh601985,6.3,6.12
sh601988,3.81,3.84
sh601989,5.35,5.38
sz000820,6.7,6.09
sz000826,12.52,12.54
sz000825,5.28,5.35
sh600418,5.31,5.32
sz000828,9.68,9.71
PG,101.51,101.51
sh600415,4.68,4.68
sh600655,8.81,8.78
sh600895,23.78,24.2
sh600893,26.23,25.89
sh601233,14.26,13.86
sh600143,5.46,5.5
sh600383,13.31,13.42
AAPL,188.4,188.02
sz000671,8.69,8.61
sh603658,66.88,67.39
sh601238,11.91,12.07
sh603899,34.6,33.5
sh600380,9.09,9.19
sz002611,4.41,4.49
sz000676,11.06,10.9
sh600388,12.97,12.71
sh601231,14.39,14.62
sh600153,8.91,8.93
sh601003,8.19,8.39
sh600395,5.69,5.72
sh600393,2.96,2.95
sh601006,8.57,8.59
sh600150,19.16,18.9
sh600392,13.01,12.72
sz000681,28.73,29.29
sh600390,10.26,10.31
sh601009,7.96,7.94
sz000686,9.43,9.58
sz002622,4.43,4.55
sz000685,8.62,8.57
sz000683,2.94,2.95
SGXA50,12910.0,13042.5
sz002625,12.08,12.07
sz002867,32.49,31.99
sz002624,34.26,33.88
sz000688,12.34,12.36
QQQ,178.6,178.45
sh000905,5522.1801,5501.183
sh600158,11.68,11.13
sh600157,2.3,2.26
sh600398,9.97,9.97
sh601000,3.03,3.03
sh603421,29.29,28.39
sh600155,10.65,10.76
sh603678,21.43,22.03
sh601258,1.8,1.82
sh601016,3.27,3.19
sh600161,23.79,24.0
sh601018,4.17,4.21
sh600160,8.55,8.65
sz000690,8.21,8.31
RY,78.02,78.02
sz000697,15.03,15.06
sz002635,15.05,14.97
sz002638,3.23,3.29
sh600167,13.82,13.33
sh601011,6.86,6.81
sh601012,27.21,28.01
sh600166,2.39,2.42
sh600176,10.76,11.05
sh600175,3.0,2.88
sh603444,212.78,193.44
sz002640,12.24,12.28
sh600172,4.57,4.56
sh600170,3.87,3.87
sz002643,11.74,11.52
sz002400,4.0,4.05
sz002648,14.25,14.51
sz002405,22.57,22.41
sz002647,14.55,14.44
sz002408,8.53,8.56
sz002407,15.79,16.09
sh601020,11.37,11.22
sh601021,36.45,36.55
sh600179,7.96,7.91
sh600177,8.56,8.54
sh600583,6.07,6.04
