D T O H L C chg cumChg rowN meanSoFar stdMean
2017-08-24 931 5.88 5.88 5.85 5.86 0.00170940170940193 0.00170940170940193 1 0.00170940170940193 0.410256410256462
2017-08-24 932 5.86 5.87 5.85 5.86 0 0.00170940170940193 2 0.000854700854700963 0.205128205128231
2017-08-24 933 5.86 5.88 5.85 5.87 0.00170648464163814 0.00341588635104006 3 0.00113862878368002 0.273270908083205
2017-08-24 934 5.88 5.89 5.87 5.89 0.00340715502555367 0.00682304137659373 4 0.00170576034414843 0.409382482595624
2017-08-24 935 5.89 5.9 5.88 5.89 0 0.00682304137659373 5 0.00136460827531875 0.327505986076499
2017-08-24 936 5.88 5.9 5.88 5.89 0 0.00682304137659373 6 0.00113717356276562 0.272921655063749
2017-08-24 937 5.88 5.9 5.88 5.9 0.00169779286927008 0.00852083424586381 7 0.0012172620351234 0.292142888429616
2017-08-24 938 5.9 5.91 5.9 5.9 0 0.00852083424586381 8 0.00106510428073298 0.255625027375914
2017-08-24 939 5.9 5.91 5.89 5.9 0 0.00852083424586381 9 0.000946759360651534 0.227222246556368
2017-08-24 940 5.9 5.91 5.89 5.9 0 0.00852083424586381 10 0.000852083424586381 0.204500021900731
2017-08-24 941 5.89 5.9 5.89 5.9 0 0.00852083424586381 11 0.000774621295078528 0.185909110818847
2017-08-24 942 5.9 5.91 5.89 5.91 0.00169491525423715 0.010215749500101 12 0.000851312458341746 0.204314990002019
2017-08-24 943 5.9 5.93 5.9 5.93 0.00338409475465307 0.013599844254754 13 0.00104614186575031 0.251074047780074
2017-08-24 944 5.93 5.95 5.93 5.94 0.00168634064080964 0.0152861848955637 14 0.00109187034968312 0.262048883923948
2017-08-24 945 5.95 5.95 5.93 5.94 0 0.0152861848955637 15 0.00101907899303758 0.244578958329019
2017-08-24 946 5.94 5.94 5.93 5.94 0 0.0152861848955637 16 0.000955386555972729 0.229292773433455
2017-08-24 947 5.94 5.94 5.93 5.94 0 0.0152861848955637 17 0.000899187346797862 0.215804963231487
2017-08-24 948 5.93 5.93 5.92 5.93 -0.00168350168350184 0.0136026832120618 18 0.000755704622892323 0.181369109494158
2017-08-24 949 5.93 5.93 5.92 5.93 0 0.0136026832120618 19 0.000715930695371675 0.171823366889202
2017-08-24 950 5.92 5.93 5.92 5.93 0 0.0136026832120618 20 0.000680134160603091 0.163232198544742
2017-08-24 951 5.92 5.94 5.92 5.93 0 0.0136026832120618 21 0.000647746819621991 0.155459236709278
2017-08-24 952 5.93 5.93 5.92 5.93 0 0.0136026832120618 22 0.000618303782366446 0.148392907767947
2017-08-24 953 5.92 5.94 5.92 5.93 0 0.0136026832120618 23 0.000591421009220079 0.141941042212819
2017-08-24 954 5.94 5.94 5.93 5.94 0.00168634064080964 0.0152890238528715 24 0.000637042660536311 0.152890238528715
2017-08-24 955 5.93 5.94 5.93 5.94 0 0.0152890238528715 25 0.000611560954114858 0.146774628987566
